"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016072","BP","GO:0016072","rRNA metabolic process","44/1647","264/18870",2.25343916623064e-05,0.000987309055592546,0.000791093451208543,"BYSL/NOB1/NOP2/UTP25/NAT10/NOL6/UTP4/RPL7L1/TRMT112/NHP2/DKC1/PWP1/GTF3A/RSL1D1/PA2G4/FBL/RRS1/MRM2/BOP1/DDX56/POLR1B/LYAR/RRP9/NOP14/TCOF1/WDR12/RPP40/WDR75/LAS1L/BRIX1/UTP18/RPF2/NPM3/EXOSC8/EXOSC5/DDX21/EBNA1BP2/NOLC1/WDR43/PRKDC/MRTO4/CHD7/RIOK3/KAT2B",44
"GO:0009156","BP","GO:0009156","ribonucleoside monophosphate biosynthetic process","12/1647","35/18870",2.33452542845527e-05,0.00101525916966377,0.000813488821814159,"AMPD2/ATIC/PAICS/GMPS/PRPS1/PPAT/PFAS/ADA/AMPD1/RFK/CDA/UPP1",12
"GO:0042572","BP","GO:0042572","retinol metabolic process","15/1647","52/18870",2.44717464710946e-05,0.00105007819644303,0.000841387992703454,"DGAT2/CEL/ALDH1A3/RDH5/RETSAT/DHRS9/ADH1B/AKR1B10/ADH1C/ADH1A/CYP2C18/RDH13/ADH6/AKR1C3/CYP3A5",15
"GO:0001666","BP","GO:0001666","response to hypoxia","48/1647","298/18870",2.45036131685734e-05,0.00105007819644303,0.000841387992703454,"AJUBA/HILPDA/SLC29A1/MYC/PLAU/LONP1/PLOD1/RGCC/ANGPT2/PMAIP1/EDNRA/PGF/SUV39H2/STC1/STC2/ITGA2/CCNA2/ASCL2/ZFP36L1/DDIT4/KCNJ8/TWIST1/LIF/ADA/SOD3/BMP7/CA9/VEGFD/BMP2/PINK1/HSD11B2/FAM162A/EGLN3/ADIPOQ/CAPN2/EGLN1/PCK1/CITED2/CLCA1/CPEB2/HMOX1/FGFR2/HK2/MB/FABP1/PPARG/FOS/CD24",48
"GO:0006720","BP","GO:0006720","isoprenoid metabolic process","27/1647","133/18870",2.70894338152233e-05,0.00115247873861722,0.000923437679025423,"PRMT3/LRP8/DGAT2/CEL/ALDH1A3/CYP2S1/RBP1/UGT1A8/RDH5/RETSAT/DHDDS/DHRS9/ADH1B/AKR1B10/UGT1A9/UGT1A3/UGT1A1/ADH1C/ADH1A/PHYH/CYP2C18/RDH13/HMGCS2/NAPEPLD/ADH6/AKR1C3/CYP3A5",27
"GO:0051302","BP","GO:0051302","regulation of cell division","34/1647","186/18870",2.75597884331348e-05,0.00116405408554629,0.000932712567267546,"SMYD5/NUP62/CDC25B/ITGB1BP1/KIF20A/MYC/CETN2/PRC1/BLM/KIF23/AURKA/KIF18B/KIF14/AURKB/ECT2/PLK1/ASPM/PGF/BRCA2/RACGAP1/CDCA8/E2F7/CDC6/LBH/MACC1/IGF2/CDC14A/NAP1L2/VEGFD/KAT2B/GAREM1/FGFR2/GPR15LG/TXNIP",34
"GO:0010718","BP","GO:0010718","positive regulation of epithelial to mesenchymal transition","16/1647","59/18870",3.09409872959965e-05,0.00129753240296282,0.00103966370094593,"COL1A1/MAD2L2/RGCC/AGT/EZH2/PDPN/TWIST1/FOXC1/BMP4/TGFB1I1/BMP7/IL6/BAMBI/GCNT2/BMP2/CTNNB1",16
"GO:0031960","BP","GO:0031960","response to corticosteroid","29/1647","149/18870",3.18336436722967e-05,0.00131299381213713,0.00105205234407136,"SMYD3/IGFBP7/CLDN1/PCNA/STC1/ZFP36L1/DDIT4/ANXA3/FOSL1/FIBIN/IL6/IL1RN/SCNN1B/HSD3B2/SGK1/UGT1A1/HSD11B2/ADIPOQ/SH3RF1/CDKN1A/PCK1/GHR/BCHE/HMGCS2/NR3C1/SCNN1A/AKR1C3/FOS/FBXO32",29
"GO:0006067","BP","GO:0006067","ethanol metabolic process","9/1647","21/18870",3.2046000249271e-05,0.00131299381213713,0.00105205234407136,"SULT1A2/SULT1A1/SULT1B1/ADH1B/ADH1C/SULT1A3/ACSS2/ADH1A/ADH6",9
"GO:0051315","BP","GO:0051315","attachment of mitotic spindle microtubules to kinetochore","9/1647","21/18870",3.2046000249271e-05,0.00131299381213713,0.00105205234407136,"BOD1/KIF2C/NUF2/AURKB/CDCA8/NDC80/CDT1/CENPE/KAT2B",9
"GO:0006882","BP","GO:0006882","intracellular zinc ion homeostasis","12/1647","36/18870",3.22499490913938e-05,0.00131299381213713,0.00105205234407136,"SLC39A10/SLC39A6/SLC30A10/MT1M/SLC1A1/MT1F/MT1G/MT1HL1/MT1H/MT1E/MT1X/MT2A",12
"GO:0032392","BP","GO:0032392","DNA geometric change","20/1647","85/18870",3.265152385829e-05,0.00131299381213713,0.00105205234407136,"RUVBL1/RFC3/TWNK/MCM3/MCM7/MCM6/TOP2A/MCM2/RAD54B/RFC4/GINS3/HMGA1/BLM/CHTF18/GINS1/CDC45/ASCC3/MRE11/MCM8/MCM4",20
"GO:1904029","BP","GO:1904029","regulation of cyclin-dependent protein kinase activity","20/1647","85/18870",3.265152385829e-05,0.00131299381213713,0.00105205234407136,"CCNF/CCND1/BLM/IPO5/CCNB1/RGCC/PLK1/PSRC1/CDKN3/CCNA2/CCNE1/CCNB2/CDC25C/CCNO/CDC6/PROX1/CDC25A/CCND2/CDKN2B/CDKN1A",20
"GO:0071900","BP","GO:0071900","regulation of protein serine/threonine kinase activity","46/1647","285/18870",3.40346413594922e-05,0.00135930190082707,0.00108915726627691,"CCNF/CCND1/BLM/IPO5/CCNB1/PDGFRB/RGCC/PLK1/THY1/AGT/PSRC1/CDKN3/WNT5A/TRIB3/CCNA2/CCNE1/CCNB2/GSTP1/EZH2/CDC25C/NOD2/CCNO/CDC6/ROBO1/PROX1/CDC25A/TPD52L1/CRIPTO/CCND2/FZD10/EDN3/PKIB/CDKN2B/BMP2/SMPD1/ADIPOQ/CDKN1A/GHR/PRKAR2B/TNFRSF11A/PPARG/KIT/CD24/ADRA2A/DUSP1/CCL19",46
"GO:1903829","BP","GO:1903829","positive regulation of protein localization","68/1647","476/18870",3.50535967687466e-05,0.00139053828803589,0.00111418580341059,"CCT3/CCT4/CD81/DKC1/NUP62/ITGB1BP1/CSNK2A2/NMT1/CCT6A/GNL3/TRIM28/RIPOR1/VSNL1/BICD1/CDK1/PTP4A3/IPO5/ECT2/PLK1/XPO4/PFKM/WNT5A/NKD2/GZMB/GPSM2/GLIS2/MTCL1/BMP4/MYH10/SYBU/FLNA/KCNN4/SLC35D3/TNFAIP6/SLC51B/GCG/PRKG2/CHP1/GNA11/PPM1A/CHP2/LGALS3/GPD1L/F2RL1/SYTL4/NR1H4/PLS1/ABHD17C/PINK1/RHOU/ABHD17B/C1QTNF12/SRI/MCU/ARF6/ANK3/TMEM30B/PRR5L/EZR/CD2AP/TRPM4/CDH1/PRKCB/EXPH5/PPARG/TMEM35A/GNAI1/IGF1",68
"GO:0051785","BP","GO:0051785","positive regulation of nuclear division","16/1647","60/18870",3.88052557681898e-05,0.00152903125244995,0.00122515498430265,"UBE2C/NUP62/NUSAP1/AURKA/PDGFRB/RGCC/WNT5A/MSX1/DLGAP5/CDC20/RAD51AP1/MSX2/IGF2/EDN3/IGF1/HOXA13",16
"GO:0042475","BP","GO:0042475","odontogenesis of dentin-containing tooth","21/1647","93/18870",4.04342591749817e-05,0.00155456607058381,0.00124561506951009,"JAG2/SLC4A2/ANKRD11/MSX1/LAMA5/APCDD1/FOXC1/MSX2/TNC/BMP4/EDAR/BMP7/ODAM/CNNM4/BMP2/BSG/ITGB6/PRKCB/NKX2-3/SOSTDC1/CTNNB1",21
"GO:0048762","BP","GO:0048762","mesenchymal cell differentiation","43/1647","262/18870",4.0469060896133e-05,0.00155456607058381,0.00124561506951009,"FAM83D/SLC39A10/SOX9/POLR1B/COL1A1/TCOF1/TRIM28/MAD2L2/SEMA4D/NOLC1/RGCC/WNT2/EDNRA/AGT/WNT5A/MSX1/LAMA5/EZH2/PDPN/SLC39A6/TWIST1/ANXA6/FOXC1/MSX2/BMP4/TGFB1I1/SEMA3A/BMP7/FLNA/PITX2/IL6/IL17RD/BAMBI/GREM1/GCNT2/EDN3/TMEM100/BMP5/BMP2/CITED2/FGFR2/IGF1/CTNNB1",43
"GO:0051321","BP","GO:0051321","meiotic cell cycle","46/1647","287/18870",4.06306457642034e-05,0.00155456607058381,0.00124561506951009,"ANAPC1/CDC25B/TRIP13/TOP2A/RAD54B/CKS2/EHMT2/NCAPD3/NUF2/PTTG1/TUBG1/EXO1/CCNB1IP1/NCAPD2/AURKA/NCAPH/NEK2/PLK1/ASPM/MND1/EDNRA/BRCA2/WNT5A/MSX1/MSH5/MRE11/H2AX/CCNE1/CCNB2/P3H4/FBXO5/TTK/CDC20/RAD51AP1/CDC25C/KIF18A/NDC80/CALR/LIF/ATRX/SGO2/MSX2/CDC25A/TEX11/DUSP1/HSPA2",46
"GO:0032530","BP","GO:0032530","regulation of microvillus organization","7/1647","13/18870",4.07772398006994e-05,0.00155456607058381,0.00124561506951009,"PODXL/FSCN1/CDHR2/CDHR5/PLS1/ATP8B1/EZR",7
"GO:0044771","BP","GO:0044771","meiotic cell cycle phase transition","7/1647","13/18870",4.07772398006994e-05,0.00155456607058381,0.00124561506951009,"CDC25B/CCNB2/TTK/CDC20/CDC25C/NDC80/CDC25A",7
"GO:0046688","BP","GO:0046688","response to copper ion","12/1647","37/18870",4.39595518425523e-05,0.00165886839652532,0.00132918858332601,"CDK1/SOD3/MT1M/MT1F/MT1G/MT1HL1/MT1H/MT1E/MT1X/MT2A/AOC1/MUC2",12
"GO:0060541","BP","GO:0060541","respiratory system development","37/1647","214/18870",4.40782609194259e-05,0.00165886839652532,0.00132918858332601,"SOX9/TULP3/CHI3L1/PLOD3/CTSH/TIMELESS/RPGRIP1L/FGFRL1/WNT2/WNT5A/MSX1/ASXL1/HIKESHI/LAMA5/CHD7/PDPN/LTBP3/NOS3/LIF/COL3A1/PROX1/ADA/TNC/ALDH1A3/BMP4/MMP12/MME/LOX/SLC23A1/CLCN2/BMP2/RARA/ITGB6/FGFR2/HMGCS2/MAN2A1/CTNNB1",37
"GO:0031214","BP","GO:0031214","biomineral tissue development","32/1647","175/18870",4.6525071562041e-05,0.00173980060599199,0.00139403650560349,"CEBPB/SOX9/ITGB1BP1/COL1A1/SLC4A2/ANO6/COL1A2/ECM1/FBXO5/LTBP3/NOS3/TWIST1/MSX2/COMP/SNX10/BMP4/BMP7/LOX/ODAM/ASPN/GREM1/CLEC3B/CNNM4/BMP2/SLC20A2/ATP2B1/LGR4/ITGB6/TENT5A/TRPM4/FGFR2/IGF1",32
"GO:0051216","BP","GO:0051216","cartilage development","36/1647","207/18870",4.89439053902468e-05,0.0018186687882667,0.00145723060085951,"TGFBI/TIMP1/SOX9/COL1A1/BGN/CHI3L1/CD44/SERPINH1/COL11A1/PITX1/ECM1/WNT5A/MSX1/STC1/SULF1/LTBP3/ANXA6/COL3A1/MSX2/CCN4/COMP/CTSK/BMP4/BMP7/GREM1/BMP3/PRKG2/BMP5/SCIN/BMP2/OGN/RARA/SLC26A2/GHR/SATB2/CTNNB1",36
"GO:1902751","BP","GO:1902751","positive regulation of cell cycle G2/M phase transition","11/1647","32/18870",4.97263087677346e-05,0.00183605249189819,0.00147115950591991,"CDK4/CDC25B/CCND1/DTL/CDK1/CCNB1/FBXO5/CDC25C/CDC25A/VPS4B/HSPA2",11
"GO:0061687","BP","GO:0061687","detoxification of inorganic compound","9/1647","22/18870",5.00371995748101e-05,0.00183605249189819,0.00147115950591991,"MT1M/MT1F/MT1G/MT1HL1/MT1H/MT1E/MT1X/MT2A/MUC2",9
"GO:0051054","BP","GO:0051054","positive regulation of DNA metabolic process","47/1647","298/18870",5.08101458986645e-05,0.00183886422458743,0.0014734124411122,"ACD/RUVBL1/CCT3/CCT4/MRGBP/DKC1/RFC3/CCT6A/GNL3/TRIM28/MAD2L2/MYC/RFC4/NABP2/CDK1/FOXM1/CHTF18/TIMELESS/PDGFRB/RGCC/PCNA/NEK2/AURKB/PRKDC/ATR/MRE11/H2AX/BRCA1/CCNA2/DBF4/RAD51AP1/E2F7/CDT1/ANXA3/ATRX/NOX4/IL6/GREM1/PKIB/STPG1/KLF4/PARM1/BCAR3/EYA2/A1CF/TOX/CTNNB1",47
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels","49/1647","315/18870",5.09570454789232e-05,0.00183886422458743,0.0014734124411122,"AJUBA/HILPDA/SLC29A1/MYC/PLAU/LONP1/PLOD1/RGCC/ANGPT2/PMAIP1/EDNRA/PGF/SUV39H2/STC1/STC2/ITGA2/CCNA2/ASCL2/ZFP36L1/DDIT4/KCNJ8/TWIST1/LIF/ADA/SOD3/BMP7/CA9/VEGFD/SLC1A1/BMP2/PINK1/HSD11B2/FAM162A/EGLN3/ADIPOQ/CAPN2/EGLN1/PCK1/CITED2/CLCA1/CPEB2/HMOX1/FGFR2/HK2/MB/FABP1/PPARG/FOS/CD24",49
"GO:0006814","BP","GO:0006814","sodium ion transport","41/1647","248/18870",5.10534608427441e-05,0.00183886422458743,0.0014734124411122,"SLC41A1/ANO6/SLC5A6/TESC/TRPM2/EDNRA/HECW2/SLC6A6/SLC12A2/NOS3/GRP/PCSK9/SERPINE2/SLC6A20/SLC38A5/SLC4A11/SLC4A4/SLC17A4/SCNN1B/SLC22A5/CHP1/P2RX4/SLC6A19/CNNM4/CHP2/SGK1/GPD1L/SLC23A1/FXYD3/SLC20A2/SLC22A4/NHERF1/NEDD4L/ANK3/CAMK2D/FXYD1/TRPM4/PKP2/SCNN1A/PRSS8/SLC6A8",41
"GO:0060326","BP","GO:0060326","cell chemotaxis","50/1647","325/18870",5.73666488650418e-05,0.00205365607004061,0.00164551703323409,"ABCC1/MIF/MET/ANO6/PDGFRB/TRPM2/DPEP1/PGF/WNT5A/CXCL8/CXCL1/CXCL3/NOD2/SLC12A2/CALR/CXCL10/TREM1/LOX/TNFAIP6/IL6/CXCL6/CXCL11/CXCL9/GREM1/CCL23/MMP28/EDN3/IL6R/P2RX4/VEGFD/LGALS3/CHGA/F2RL1/CCL14/CCL28/LPAR1/MCU/BSG/CCL15/SCG2/TRPM4/MTUS1/GPR15LG/TNFRSF11A/S100A14/KIT/DUSP1/CCL19/CXCL13/VAV3",50
"GO:0016042","BP","GO:0016042","lipid catabolic process","51/1647","334/18870",5.92864665674981e-05,0.00210952027404716,0.00169027890966602,"PAFAH1B3/PPT1/SMPD4/GLA/DPEP1/TWIST1/PLAAT3/CEL/LIPG/PLCB4/PRDX6/PLCD1/ADTRP/CIDEC/ACADS/NAAA/GBA2/GBA3/ABHD3/ETFDH/GDPD3/PAFAH2/CPT2/FUCA1/ABHD5/AKR1B10/PLA2G10/LIPH/SMPD1/HPGD/PLCD3/ADIPOQ/SCP2/MGLL/ACADVL/CPT1A/ABCD3/CYP4F12/HSD17B11/PCK1/PHYH/ACADM/EHHADH/NAPEPLD/NCEH1/FABP1/ECI2/AKR1C3/PNLIPRP2/ADRA2A/PLA2G2A",51
"GO:0022617","BP","GO:0022617","extracellular matrix disassembly","16/1647","62/18870",5.99797930714232e-05,0.00212133352483329,0.00169974442128212,"LAMC1/FAP/MMP7/MMP1/MMP11/PDPN/MMP3/FSCN1/MMP9/CTSK/CTSV/MMP12/IL6/MMP10/CTSS/TPSAB1",16
"GO:0120254","BP","GO:0120254","olefinic compound metabolic process","30/1647","162/18870",6.21964835052709e-05,0.00218656020754159,0.00175200809823546,"DKK3/DGAT2/GSTP1/FADS1/CEL/ALDH1A3/CYP2S1/SCNN1B/RDH5/RETSAT/DHRS9/BMP5/ADH1B/CLCN2/BMP2/AKR1B10/PLA2G10/HSD11B2/ADH1C/SCP2/MGLL/EPHX2/CYP4F12/ADH1A/AKR1C2/CYP2C18/RDH13/ADH6/AKR1C3/CYP3A5",30
"GO:1904666","BP","GO:1904666","regulation of ubiquitin protein ligase activity","8/1647","18/18870",6.52031155577253e-05,0.00227861602047265,0.00182576894378117,"UBE2C/UBE2S/MAD2L2/PLK1/MAD2L1/FBXO5/CDC20/BAG2",8
"GO:0097306","BP","GO:0097306","cellular response to alcohol","22/1647","103/18870",6.58545933194948e-05,0.00228776519159026,0.00183309982899297,"CDK4/GRAMD1A/BLM/LRP8/BRCA1/INHBB/TNC/SCNN1B/SGK1/PTGDR/PTGER4/UGT1A1/GRAMD1C/PCK1/AKR1C2/CDH1/TP53INP1/SCNN1A/AKR1C3/FOS/GNAI1/CTNNB1",22
"GO:0008202","BP","GO:0008202","steroid metabolic process","50/1647","327/18870",6.72800318947591e-05,0.00232050868653266,0.00185933595462343,"OSBPL3/IGFBP7/DKK3/DHCR7/SULT2B1/PROX1/PCSK9/UGT1A8/AQP8/SCNN1B/RDH5/SULT1A2/GBA2/DHRS9/BMP5/HSD3B2/SULT1A1/DHRS11/LIMA1/CLCN2/NR1H4/HSD17B2/BMP2/UGT2B15/APOBR/SMPD1/UGT1A3/UGT1A1/UGT2B17/UGT2A3/HSD11B2/SULT1A3/ABCA5/ATP8B1/SCP2/NR5A2/ACADVL/EPHX2/ABCD3/UGT2B28/HSD17B11/VLDLR/AKR1C2/HMGCS2/TTC39B/NR3C1/AKR1C3/KIT/CYP3A5/NR1I2",50
"GO:0009113","BP","GO:0009113","purine nucleobase biosynthetic process","6/1647","10/18870",6.75876316465824e-05,0.00232050868653266,0.00185933595462343,"PAICS/GMPS/SHMT2/PRPS1/PPAT/ADA",6
"GO:0006177","BP","GO:0006177","GMP biosynthetic process","7/1647","14/18870",7.53989091892574e-05,0.00254406319454098,0.00203846173724617,"ATIC/PAICS/GMPS/PPAT/PFAS/ADA/AMPD1",7
"GO:0051231","BP","GO:0051231","spindle elongation","7/1647","14/18870",7.53989091892574e-05,0.00254406319454098,0.00203846173724617,"KIF4A/PRC1/KIF23/AURKB/RACGAP1/CDCA8/KIF11",7
"GO:0070141","BP","GO:0070141","response to UV-A","7/1647","14/18870",7.53989091892574e-05,0.00254406319454098,0.00203846173724617,"TIMP1/CCND1/MMP1/MMP3/MMP9/MME/OPN3",7
"GO:0043123","BP","GO:0043123","positive regulation of canonical NF-kappaB signal transduction","34/1647","196/18870",8.24712772662819e-05,0.00276679353617338,0.00221692714648429,"AJUBA/NUP62/RIPK2/CXXC5/UBE2V1/DDX21/ECT2/ECM1/NOD2/UNC5CL/UBD/LGALS1/EDAR/FLNA/PPM1A/MIER1/F2RL1/MIB2/TLR3/CASP10/PINK1/LPAR1/SECTM1/XIAP/ADIPOQ/TNFSF10/CD36/HMOX1/PRKCB/PELI2/CASP1/BIRC3/CCL19/CTNNB1",34
"GO:1901992","BP","GO:1901992","positive regulation of mitotic cell cycle phase transition","21/1647","98/18870",9.10398054781012e-05,0.00303690169296552,0.00243335460933992,"CDK4/UBE2C/CDC25B/CDCA5/CCND1/DTL/CDK1/RRM2/CCNB1/RGCC/FBXO5/DLGAP5/CDC20/CDC25C/CDC6/STIL/CDC25A/CCND2/TMOD3/VPS4B/HSPA2",21
"GO:0051973","BP","GO:0051973","positive regulation of telomerase activity","11/1647","34/18870",9.36435120645831e-05,0.00308865763669195,0.00247482469199658,"ACD/CCT4/DKC1/MYC/NEK2/AURKB/GREM1/PKIB/KLF4/PARM1/CTNNB1",11
"GO:1901658","BP","GO:1901658","glycosyl compound catabolic process","11/1647","34/18870",9.36435120645831e-05,0.00308865763669195,0.00247482469199658,"NUDT1/GLA/ADA/GBA2/GBA3/XDH/FUCA1/APOBEC3A/CDA/APOBEC3B/UPP1",11
"GO:0043270","BP","GO:0043270","positive regulation of monoatomic ion transport","36/1647","214/18870",9.9331804022889e-05,0.00325797218669487,0.00261049004515314,"HOMER1/ANO6/WFS1/TESC/PDGFRB/EDNRA/THY1/STC1/CXCL10/FLNA/KCNN4/CXCL11/CXCL9/P2RY1/GCG/EDN3/CHP1/P2RX4/CHP2/LGALS3/GPD1L/NHERF1/SRI/ANK3/BDKRB1/ATP2B1/MS4A1/PLP1/FXYD1/CTSS/ANK2/PKP2/ABCB1/PRSS8/FHL1/ADRA2A",36
"GO:0045931","BP","GO:0045931","positive regulation of mitotic cell cycle","25/1647","128/18870",0.000102460408091672,0.0033419169772567,0.00267775183486363,"CDK4/UBE2C/CDC25B/CDCA5/CCND1/DTL/CDK1/RRM2/CCNB1/AURKA/RGCC/BRCA2/EIF4EBP1/ASNS/FBXO5/DLGAP5/CDC20/CDC25C/CDC6/STIL/CDC25A/CCND2/TMOD3/VPS4B/HSPA2",25
"GO:0006730","BP","GO:0006730","one-carbon metabolic process","12/1647","40/18870",0.000103608825073173,0.00335060969453709,0.00268471698085797,"AHCY/SHMT2/MTHFD1/MTHFD2/CA9/CA7/CA1/CA4/AHCYL2/CA2/CA12/SFXN1",12
"GO:0009168","BP","GO:0009168","purine ribonucleoside monophosphate biosynthetic process","8/1647","19/18870",0.000104017211584115,0.00335060969453709,0.00268471698085797,"AMPD2/ATIC/PAICS/GMPS/PPAT/PFAS/ADA/AMPD1",8
"GO:1904951","BP","GO:1904951","positive regulation of establishment of protein localization","49/1647","324/18870",0.000104439034934472,0.00335060969453709,0.00268471698085797,"CCT3/CCT4/CD81/DKC1/ITGB1BP1/CSNK2A2/NMT1/CCT6A/TRIM28/RIPOR1/VSNL1/CDK1/PTP4A3/IPO5/ECT2/XPO4/PFKM/GZMB/MTCL1/MYH10/SYBU/FLNA/KCNN4/SLC35D3/SLC51B/GCG/CHP1/GNA11/PPM1A/CHP2/F2RL1/SYTL4/NR1H4/PINK1/RHOU/C1QTNF12/SRI/MCU/ARF6/ANK3/TMEM30B/PRR5L/CD2AP/TRPM4/CDH1/PRKCB/EXPH5/PPARG/IGF1",49
"GO:1905820","BP","GO:1905820","positive regulation of chromosome separation","10/1647","29/18870",0.000106261034470706,0.0033905355074865,0.00271670802659946,"UBE2C/NCAPG2/NCAPD3/NCAPD2/NCAPG/NCAPH/AURKB/DLGAP5/CDC20/CDCA8",10
"GO:0071103","BP","GO:0071103","DNA conformation change","20/1647","92/18870",0.000107520225229529,0.00341216887741927,0.00273404202873835,"RUVBL1/RFC3/TWNK/MCM3/MCM7/MCM6/TOP2A/MCM2/RAD54B/RFC4/GINS3/HMGA1/BLM/CHTF18/GINS1/CDC45/ASCC3/MRE11/MCM8/MCM4",20
"GO:0060571","BP","GO:0060571","morphogenesis of an epithelial fold","9/1647","24/18870",0.000111994773081387,0.00351615675273168,0.00281736358514337,"WNT2/WNT5A/SULF1/BMP4/BMP7/BMP5/FGFR2/SOSTDC1/CTNNB1",9
"GO:0071294","BP","GO:0071294","cellular response to zinc ion","9/1647","24/18870",0.000111994773081387,0.00351615675273168,0.00281736358514337,"P2RX4/MT1M/MT1F/MT1G/MT1HL1/MT1H/MT1E/MT1X/MT2A",9
"GO:0042254","BP","GO:0042254","ribosome biogenesis","49/1647","325/18870",0.00011279608898303,0.00352247786393283,0.00282242845277247,"BYSL/NOB1/NOP2/UTP25/NAT10/NOL6/UTP4/RPL7L1/TRMT112/NHP2/DKC1/PWP1/GTF3A/RSL1D1/PA2G4/FBL/RRS1/AIRIM/MRM2/BOP1/DDX56/PNO1/LYAR/RRP9/NOP14/WDR12/RPP40/WDR75/LAS1L/ABCE1/BRIX1/UTP18/RPF2/NOP16/NPM3/ZNF593/EXOSC8/EXOSC5/DDX21/EBNA1BP2/NOLC1/GNL2/WDR43/PRKDC/MRTO4/MTERF3/CHD7/RIOK3/KAT2B",49
"GO:0048144","BP","GO:0048144","fibroblast proliferation","22/1647","107/18870",0.000119612125098716,0.0037155702987014,0.00297714612679568,"CDK4/MIF/CKS2/MYC/CDK1/CCNB1/WNT2/CKS1B/AGT/WNT5A/CCNA2/GSTP1/KCNJ8/LIF/COL3A1/CDC6/DACH1/VEGFD/CDKN1A/TP53INP1/IGF1/CTNNB1",22
"GO:0046686","BP","GO:0046686","response to cadmium ion","15/1647","59/18870",0.00012158728278033,0.0037570470379122,0.00301037987116507,"NUDT1/CDK1/PCNA/MMP9/MT1M/MT1F/MT1G/MT1HL1/MT1H/MT1E/MT1X/MT2A/HMOX1/FOS/KIT",15
"GO:0071248","BP","GO:0071248","cellular response to metal ion","34/1647","200/18870",0.000124053403367563,0.003813180791471,0.00305535772747114,"SLC41A1/CLDN1/TRPM2/ECT2/DPEP1/WNT5A/SLC12A2/CPNE1/CALR/MMP9/INHBB/P2RX4/CPNE8/CHP2/MT1M/SLC1A1/SMPD1/ITPKA/MT1F/MT1G/MT1HL1/MT1H/ANK3/MT1E/CPNE5/CAMK2D/MT1X/FABP4/MT2A/HMOX1/AOC1/CDH1/AKR1C3/FOS",34
"GO:0060485","BP","GO:0060485","mesenchyme development","49/1647","327/18870",0.000131358342739474,0.00401669182408047,0.00321842343038765,"FAM83D/SLC39A10/SOX9/POLR1B/COL1A1/TCOF1/TRIM28/MAD2L2/MYC/SEMA4D/NOLC1/RGCC/WNT2/EDNRA/AGT/WNT5A/MSX1/LAMA5/ZFP36L1/EZH2/PDPN/SLC39A6/NOS3/TWIST1/ANXA6/ROBO1/FOXC1/MSX2/BMP4/TGFB1I1/SEMA3A/BMP7/FLNA/PITX2/IL6/IL17RD/BAMBI/FOXD1/GREM1/GCNT2/EDN3/TMEM100/BMP5/BMP2/CITED2/RBM24/FGFR2/IGF1/CTNNB1",49
"GO:0051445","BP","GO:0051445","regulation of meiotic cell cycle","16/1647","66/18870",0.000134400075503271,0.00408840851440261,0.00327588730528562,"ANAPC1/CDC25B/TRIP13/ASPM/WNT5A/MSX1/FBXO5/TTK/CDC20/RAD51AP1/CDC25C/CALR/LIF/MSX2/CDC25A/DUSP1",16
"GO:0006188","BP","GO:0006188","IMP biosynthetic process","6/1647","11/18870",0.000137679783167039,0.00410313709123698,0.00328768875753939,"AMPD2/ATIC/PAICS/PPAT/PFAS/AMPD1",6
"GO:0010960","BP","GO:0010960","magnesium ion homeostasis","6/1647","11/18870",0.000137679783167039,0.00410313709123698,0.00328768875753939,"SLC41A1/CNNM2/EDN3/CNNM4/ANK3/XK",6
"GO:0051256","BP","GO:0051256","mitotic spindle midzone assembly","6/1647","11/18870",0.000137679783167039,0.00410313709123698,0.00328768875753939,"KIF4A/PRC1/KIF23/AURKB/RACGAP1/CDCA8",6
"GO:0071492","BP","GO:0071492","cellular response to UV-A","6/1647","11/18870",0.000137679783167039,0.00410313709123698,0.00328768875753939,"TIMP1/MMP1/MMP3/MMP9/MME/OPN3",6
"GO:0050673","BP","GO:0050673","epithelial cell proliferation","66/1647","480/18870",0.000143848827852328,0.00426533569859099,0.00341765237465206,"CDK4/CDH3/NME1/CEBPB/NME2/LAMC1/SOX9/ITGB1BP1/CCND1/MYC/CLDN1/WDR77/SPARC/RGCC/WNT2/PRKDC/PGF/BRCA2/ECM1/WNT5A/STK3/FAP/UHRF1/LAMA5/SULF1/ZFP36L1/LAMB1/NOD2/LGR5/TWIST1/ROBO1/PROX1/IGFBP3/DACH1/BMP4/JCAD/MMP12/ODAM/IL6/REG3A/IGF2/BMP5/VEGFD/CEACAM1/XDH/AQP11/CDKN2B/POLD4/MARVELD3/VIP/LGR4/CDKN1A/SCG2/HMOX1/IRF6/FGFR2/FGFBP1/RETNLB/GPR15LG/NEAT1/NKX2-3/PPARG/SGPP2/KIT/IGF1/CTNNB1",66
"GO:0010232","BP","GO:0010232","vascular transport","19/1647","87/18870",0.000148547720345416,0.00435742967197052,0.00349144379672364,"SLC7A5/ABCC1/SLC29A1/SLC5A6/SLC6A6/SLC12A2/KCNJ8/SLC22A3/SLC6A20/SLC38A5/SLC4A4/ABCG2/SLC22A5/SLC1A1/NHERF1/CD36/SLC16A1/ABCB1/SLC28A2",19
